ticket_id,created_at,channel,category,priority_assigned,first_response_min,resolution_min,agent_name,escalated,csat_score,agent_internal_notes
T-4801,2026-01-02 9:14,chat,Magic Import - Error,Low,3,18,Maria S.,No,5,User uploaded a PNG whiteboard photo. Got 'processing failed' error. Had them retry and it worked on second attempt. Seemed like a transient timeout.
T-4802,2026-01-02 9:31,email,Billing - Invoice Question,Medium,47,92,James K.,No,3,"Customer asked why their January invoice was $400 higher than expected. Had to check Salesforce for contract tier, then admin portal for seat count, then billing dashboard. Took me 25 min just to gather the info before I could even start responding."
T-4803,2026-01-02 10:02,chat,Canvas - Performance,Low,4,11,Maria S.,No,5,Canvas lagging with 200+ objects. Recommended splitting into pages. Quick fix.
T-4804,2026-01-02 10:45,chat,Magic Import - Quality,Low,6,34,Devon R.,No,4,"Import of a 30-page PDF produced messy layout. Told user to wait for Design Curation review. Customer said 'this is the third time this week I've had to wait — my team is losing patience.' Enterprise account (Meridian Health, 450 seats)."
T-4805,2026-01-02 11:03,email,Account - Access,High,22,67,James K.,Yes,2,New enterprise onboarding — 80 users can't access workspace. SSO config issue. Had to escalate to engineering Slack channel. No response for 3.5 hours. Customer CEO emailed our CEO directly.
T-4806,2026-01-02 11:18,chat,Magic Import - Error,Low,2,15,Devon R.,No,5,Spreadsheet import failed. User retried and it worked. Same transient error pattern as T-4801.
T-4807,2026-01-02 13:22,voice,Billing - Refund Request,Medium,1,43,Priya M.,No,4,"Customer wants refund for unused seats. Policy says no mid-cycle refunds, but I had to check three places to confirm: the Google Sheet policy doc, the admin portal, and Salesforce. Policy sheet was last updated in November — not sure if it's current."
T-4808,2026-01-02 14:01,chat,Magic Import - Error,Low,5,22,Maria S.,No,4,Another processing timeout on image upload. Third one today. User frustrated — said 'does this feature actually work?' Told them to retry. It worked. We should probably be tracking these.
T-4809,2026-01-02 14:33,chat,Canvas - Feature Request,Low,3,8,Devon R.,No,5,User wants dark mode. Sent to feature request form. Easy.
T-4810,2026-01-02 15:15,email,Account - Downgrade,Low,51,124,James K.,No,2,"Enterprise customer (Luma Analytics, 200 seats) wants to downgrade. VP of Product there says 'Magic Import quality has degraded significantly since we onboarded 4 months ago.' I flagged in #customer-health but no one responded. This feels like churn risk not just a support ticket."
T-4811,2026-01-02 16:40,chat,Magic Import - Quality,Low,4,41,Priya M.,No,3,User uploaded architectural blueprints. AI output was unusable — misidentified structural elements as text. Routed to Design Curation. Queue shows 67 hour wait. Told customer 2-3 hours per our SLA. That's not going to happen.
T-4812,2026-01-02 17:02,chat,Canvas - Collaboration,Medium,7,29,Maria S.,No,4,Real-time cursors not syncing between users. Had them clear cache and rejoin. Worked. Known intermittent issue per eng but no public status page or internal knowledge article about it.
T-4813,2026-01-02 19:45,chat,Account - Access,High,34,187,Devon R.,Yes,1,"Enterprise SSO broken for entire org (CoreVista, 300 seats). Tier 2 not available — no one staffed after 6pm EST. Left in queue. Picked back up at 9am next day. Customer lost an entire evening of work across their team."
T-4814,2026-01-02 20:12,chat,Magic Import - Error,Low,8,19,Devon R.,No,4,PDF import failed. Retry worked. I used Sarah's workaround macro to send the 'please retry' message — saves a lot of typing since we send this 15+ times per day.
T-4815,2026-01-02 22:30,email,Billing - Invoice Question,Medium,412,485,James K.,No,1,"Came in overnight. No one picked it up until morning. Customer had replied twice asking for an update before we even opened it. Enterprise account (DataForge, 175 seats). James noted: 'email tickets from enterprise accounts shouldn't sit overnight but we have no way to flag them automatically.'"
